Politik,Podstatná jména,Slovesa,Přídavná jména,Příslovce,Zájmena,Členy,Předložky,Spojky,Podřadicí spojky,Číslovky,Částice,Citoslovce
pavel-belobradek_texty_2018,19.481874293662525,11.854878437509056,7.824045901069286,7.0184589527369665,5.471036541192153,6.186791851401083,8.420991625373091,0.0,2.439943203222348,1.1533223217131763,0.9533744820191835,0.2144368135848619
pavel-belobradek_texty_2019,20.621576496089517,11.110460177509593,7.571985119657869,5.981428864348692,4.672075924895281,5.175898532470195,7.853188435513636,0.0,2.44881220891063,1.3737953660036908,1.2771317261782713,0.2606989074079499
pavel-belobradek_texty_2020,22.14663210208963,11.159966199281019,7.514931037939874,5.648730324687415,4.316752839403618,5.340800045831483,8.821128313831082,0.0,2.323083313043354,1.9306512367339341,1.019750504862434,0.3523295283653915
pavel-belobradek_texty_2021,22.955341370440387,11.299470046797037,7.9307031952149245,6.046425140236154,4.124957386803856,4.803669383580749,9.182756376483713,0.0,2.1136145287755292,1.9245668949700934,0.802677658288654,0.2510304645613165
pavel-belobradek_texty_2022,16.28308400460299,7.940161104718067,6.559263521288838,4.8619102416570765,3.423475258918297,3.2508630609896434,6.559263521288838,0.0,1.9275028768699656,1.6973532796317605,1.0069044879171463,0.17261219792865362
pavel-fischer_texty,25.09412913122298,11.476781480964998,9.705759308325199,4.769209315297727,3.3049783851624595,3.9673685678426995,10.612187979361316,0.0,1.784967229117278,1.0598242922883838,0.6135824850090643,0.09761539534235114
pavel-poc_texty,23.587008438146793,11.335774558191371,8.995382900811972,5.628084699888553,4.211112880114632,4.601178156344531,10.945709281961472,0.0,1.9344053494666453,2.324470625696545,0.7880910683012259,0.03980257920713262
pavel-telicka_texty,21.616515989744975,10.653083254621508,10.147078666846578,6.841182026717043,4.102010524895426,4.864390770476319,10.052624477128592,0.0,2.462555660504655,1.099716637430846,0.9310484415058696,0.10120091755498584
petr-fiala_texty_2016,21.667582921018873,11.537474803005313,10.459959684808503,5.706432105552501,4.09748946307495,5.3802455561663916,8.594465823712664,0.0,2.2833058457027673,0.9199193696170057,0.8502840388491846,0.05131024372365769
petr-fiala_texty_2017,20.575502928444106,11.07252818482765,9.609463620158808,6.1902446929184896,4.120656527073639,5.80364377155821,9.31083177072482,0.0,2.2084867004653104,1.027849156191402,0.9977544736903026,0.01620482903905364
petr-fiala_texty_2018,21.515239477503627,10.62215771649734,10.229317851959362,5.762941461054669,3.8064828253507503,5.764876632801161,8.996613449443638,0.0,2.432510885341074,1.1301402999516206,1.039187227866473,0.04644412191582003
petr-fiala_texty_2019,21.242207342415146,12.022262999914934,9.2320966350302,5.9254578376210665,3.9993194716183207,5.8002892245622135,8.309737632004277,0.0,2.7549247165477766,1.4193877675023394,0.9503092758448881,0.06197669190292749
